Event 1 BX 0
HwTrack 1 Rinv: 000000001010000, t: 00000101101110, phi: 0001101111111001101, Z0: 10001111110, Q: 0, Sector: 11000, HwValid: 1, BX: 110
HwTrack 2 Rinv: 100000001001100, t: 11111010010110, phi: 0000111111111011001, Z0: 10001111110, Q: 1, Sector: 01011, HwValid: 1, BX: 110

Event 63 BX 110
HwTrack 1 Rinv: 000000100000011, t: 00000111111101, phi: 0001010000100100101, Z0: 10001001111, Q: 0, Sector: 10000, HwValid: 1, BX: 111
HwTrack 2 Rinv: 100000011111110, t: 11110111111101, phi: 0000100000101100111, Z0: 10001001111, Q: 1, Sector: 00011, HwValid: 1, BX: 111

Event 64 BX 111
HwTrack 1 Rinv: 000001001001101, t: 00001110010011, phi: 0001001000101000010, Z0: 10010000010, Q: 0, Sector: 10001, HwValid: 1, BX: 000
HwTrack 2 Rinv: 100001001100111, t: 11110001101100, phi: 0000011000110100110, Z0: 10010001110, Q: 1, Sector: 00100, HwValid: 1, BX: 000

Event 65 BX 0
HwTrack 1 Rinv: 000000101100001, t: 00010000111110, phi: 0001000100001110111, Z0: 10001101100, Q: 0, Sector: 01000, HwValid: 1, BX: 001
HwTrack 2 Rinv: 100000100110101, t: 11101110111101, phi: 0000010100011001011, Z0: 10001110101, Q: 1, Sector: 10110, HwValid: 1, BX: 001

Event 66 BX 1
HwTrack 1 Rinv: 000001100001111, t: 00001110000110, phi: 0001011110000101010, Z0: 00001110111, Q: 0, Sector: 10100, HwValid: 1, BX: 010
HwTrack 2 Rinv: 100001100011011, t: 11110001110001, phi: 0000101110000011101, Z0: 00010011110, Q: 1, Sector: 00111, HwValid: 1, BX: 010

Event 67 BX 10
HwTrack 1 Rinv: 000001001100100, t: 11101110100111, phi: 0001101010011101100, Z0: 10001001111, Q: 0, Sector: 01000, HwValid: 1, BX: 011
HwTrack 2 Rinv: 100001001101111, t: 00010001010110, phi: 0000111011000001001, Z0: 10000111000, Q: 1, Sector: 10110, HwValid: 1, BX: 011

Event 68 BX 11
HwTrack 1 Rinv: 000000001000111, t: 11111010110011, phi: 0001000010111110000, Z0: 00000011000, Q: 0, Sector: 11011, HwValid: 1, BX: 100
HwTrack 2 Rinv: 100000001000101, t: 00000101000111, phi: 0000010010111110010, Z0: 00000010100, Q: 1, Sector: 01110, HwValid: 1, BX: 100

Event 69 BX 100
HwTrack 1 Rinv: 000000111100110, t: 00001001100110, phi: 0000011000101101011, Z0: 10010110010, Q: 0, Sector: 10011, HwValid: 1, BX: 101
HwTrack 2 Rinv: 100000111111000, t: 11110110011010, phi: 0001001000111110101, Z0: 10010110100, Q: 1, Sector: 00101, HwValid: 1, BX: 101

Event 70 BX 101
HwTrack 1 Rinv: 000000000000000, t: 00000000000000, phi: 0000000000000000000, Z0: 00000000000, Q: 0, Sector: 00000, HwValid: 0, BX: 000
HwTrack 2 Rinv: 100000111001101, t: 00010011011001, phi: 0000111011111010101, Z0: 10000110100, Q: 1, Sector: 01010, HwValid: 1, BX: 110

Event 71 BX 110
HwTrack 1 Rinv: 000000011010001, t: 11101110111011, phi: 0001110001001000110, Z0: 00000000101, Q: 0, Sector: 10110, HwValid: 1, BX: 111
HwTrack 2 Rinv: 100000011010110, t: 00010001000011, phi: 0001000001000100111, Z0: 00000011001, Q: 1, Sector: 01001, HwValid: 1, BX: 111

Event 72 BX 111
HwTrack 1 Rinv: 000000010111011, t: 11110101010111, phi: 0000010001100010011, Z0: 10001100001, Q: 0, Sector: 11011, HwValid: 1, BX: 000
HwTrack 2 Rinv: 100000010111011, t: 00001010101011, phi: 0001000001101111011, Z0: 10001100001, Q: 1, Sector: 01101, HwValid: 1, BX: 000

Event 73 BX 0
HwTrack 1 Rinv: 000000001110101, t: 11110110000000, phi: 0000100111000100000, Z0: 00001010110, Q: 0, Sector: 01000, HwValid: 1, BX: 001
HwTrack 2 Rinv: 100000001101001, t: 00001001111111, phi: 0001010111000100101, Z0: 00001011100, Q: 1, Sector: 10101, HwValid: 1, BX: 001

Event 74 BX 1
HwTrack 1 Rinv: 000000001011101, t: 11110101100001, phi: 0000010011111011001, Z0: 10001010101, Q: 0, Sector: 10110, HwValid: 1, BX: 010
HwTrack 2 Rinv: 100000001100000, t: 00001010100000, phi: 0001000011110110001, Z0: 10001011010, Q: 1, Sector: 01000, HwValid: 1, BX: 010

Event 75 BX 10
