Event 1 BX 0
SwTrack 1 pT: 35.8311, eta: 1.539, phi: 2.64339, sector: 12, Q: 1
SwTrack 2 pT: 37.7801, eta: -1.53659, phi: -0.498274, sector: 25, Q: -1

Event 83 BX 10
SwTrack 1 pT: 67.8907, eta: 1.38629, phi: -0.746196, sector: 24, Q: 1
SwTrack 2 pT: 65.9085, eta: -1.38169, phi: 2.3954, sector: 11, Q: -1

Event 84 BX 11
SwTrack 1 pT: 150.491, eta: 0.7056, phi: -0.775503, sector: 24, Q: 1
SwTrack 2 pT: 158.411, eta: -0.702496, phi: 2.36598, sector: 11, Q: -1

Event 85 BX 100
SwTrack 1 pT: 85.9949, eta: 1.44712, phi: -2.24469, sector: 18, Q: 1
SwTrack 2 pT: 85.1833, eta: -1.4532, phi: 0.896725, sector: 4, Q: -1

Event 86 BX 101
SwTrack 1 pT: 188.114, eta: 0.0214827, phi: -0.209587, sector: 27, Q: 1
SwTrack 2 pT: 196.292, eta: -0.0253879, phi: 2.93209, sector: 13, Q: -1

Event 87 BX 110
SwTrack 1 pT: 23.0932, eta: -0.101388, phi: 1.92089, sector: 9, Q: 1
SwTrack 2 pT: 22.9174, eta: 0.0955576, phi: -1.2208, sector: 22, Q: -1

Event 88 BX 111
SwTrack 1 pT: 177.048, eta: -0.355731, phi: -0.418521, sector: 26, Q: 1
SwTrack 2 pT: 180.589, eta: 0.353895, phi: 2.72293, sector: 12, Q: -1

Event 89 BX 0
SwTrack 1 pT: 76.5209, eta: -0.481212, phi: 1.57517, sector: 7, Q: 1
SwTrack 2 pT: 75.8776, eta: 0.481212, phi: -1.56609, sector: 21, Q: -1

Event 90 BX 1
SwTrack 1 pT: 60.6003, eta: 0.433555, phi: 0.826887, sector: 4, Q: 1
SwTrack 2 pT: 63.1429, eta: -0.431771, phi: -2.31469, sector: 18, Q: -1

Event 91 BX 10
SwTrack 1 pT: 17.4651, eta: -2.05709, phi: 2.86504, sector: 13, Q: 1
SwTrack 2 pT: 17.5329, eta: 2.05413, phi: -0.276022, sector: 26, Q: -1

Event 92 BX 11
SwTrack 1 pT: 48.5453, eta: -1.56903, phi: -2.73409, sector: 16, Q: 1
SwTrack 2 pT: 47.2747, eta: 1.56669, phi: 0.407248, sector: 2, Q: -1

Event 93 BX 100
SwTrack 1 pT: 150.491, eta: 0.764975, phi: -0.278408, sector: 26, Q: 1
SwTrack 2 pT: 145.636, eta: -0.766468, phi: 2.86304, sector: 13, Q: -1

Event 94 BX 101
SwTrack 1 pT: 117.266, eta: -0.470706, phi: -0.781653, sector: 24, Q: 1
SwTrack 2 pT: 112.868, eta: 0.47246, phi: 2.35981, sector: 11, Q: -1

Event 95 BX 110
