Event 1 BX 0
SwMuon 1 pT: 24.5, eta: -0.10875, phi: 1.79987, Q: 1
SwMuon 2 pT: 23.5, eta: 0.10875, phi: -1.11265, Q: -1

Event 88 BX 111
SwMuon 1 pT: 140, eta: -0.380625, phi: -0.436332, Q: 1
SwMuon 2 pT: 140, eta: 0.36975, phi: 2.72708, Q: -1

Event 89 BX 0
SwMuon 1 pT: 81.5, eta: -0.45675, phi: 1.53807, Q: 1
SwMuon 2 pT: 99, eta: 0.45675, phi: -1.53807, Q: -1

Event 90 BX 1
SwMuon 1 pT: 64.5, eta: 0.45675, phi: 0.77449, Q: 1
SwMuon 2 pT: 70, eta: -0.41325, phi: -2.27984, Q: -1

Event 91 BX 10
SwMuon 1 pT: 28.5, eta: -2.06625, phi: 2.79253, Q: 1
SwMuon 2 pT: 7, eta: 2.05538, phi: -0.229074, Q: -1

Event 92 BX 11
SwMuon 1 pT: 72.5, eta: -1.566, phi: -2.77071, Q: 1
SwMuon 2 pT: 29.5, eta: 1.57687, phi: 0.436332, Q: -1

Event 93 BX 100
SwMuon 1 pT: 140, eta: 0.685125, phi: -0.294524, Q: 1
SwMuon 2 pT: 140, eta: -0.685125, phi: 2.86889, Q: -1

Event 94 BX 101
SwMuon 1 pT: 120, eta: -0.45675, phi: -0.807214, Q: 1
SwMuon 2 pT: 140, eta: 0.511125, phi: 2.37801, Q: -1

Event 95 BX 110
SwMuon 1 pT: 97, eta: -0.36975, phi: 0, Q: 1
SwMuon 2 pT: 111.5, eta: 0.36975, phi: -3.07614, Q: -1

Event 96 BX 111
SwMuon 1 pT: 0, eta: 0, phi: 0, Q: 0
SwMuon 2 pT: 0, eta: 0, phi: 0, Q: 0

Event 97 BX 0
SwMuon 1 pT: 111.5, eta: 0.880875, phi: -1.09083, Q: 1
SwMuon 2 pT: 131, eta: -0.89175, phi: 2.11621, Q: -1

Event 98 BX 1
SwMuon 1 pT: 69.5, eta: 0.45675, phi: -1.61443, Q: 1
SwMuon 2 pT: 70, eta: -0.45675, phi: 1.61443, Q: -1

Event 99 BX 10
SwMuon 1 pT: 28, eta: -2.33812, phi: -2.55254, Q: 1
SwMuon 2 pT: 39, eta: 2.3055, phi: 0.665407, Q: -1

Event 100 BX 11
SwMuon 1 pT: 44.5, eta: -1.9575, phi: -2.42164, Q: 1
SwMuon 2 pT: 56, eta: 1.9575, phi: 0.785398, Q: -1

Event 101 BX 100
SwMuon 1 pT: 90.5, eta: -1.19625, phi: 1.39626, Q: 1
SwMuon 2 pT: 35.5, eta: 1.19625, phi: -1.67988, Q: -1

Event 102 BX 101
SwMuon 1 pT: 33, eta: 2.38162, phi: -0.883573, Q: 1
SwMuon 2 pT: 33.5, eta: -2.3925, phi: 2.31256, Q: -1

Event 103 BX 110
SwMuon 1 pT: 70.5, eta: -1.07662, phi: -2.26893, Q: 1
SwMuon 2 pT: 60.5, eta: 1.02225, phi: 0.949023, Q: -1

Event 104 BX 111
SwMuon 1 pT: 22, eta: 1.8705, phi: -1.309, Q: 1
SwMuon 2 pT: 23, eta: -1.90313, phi: 1.98531, Q: -1

Event 105 BX 0
SwMuon 1 pT: 161, eta: 1.79437, phi: 2.00713, Q: 1
SwMuon 2 pT: 81.5, eta: -1.79437, phi: -1.09083, Q: -1

Event 106 BX 1
SwMuon 1 pT: 23, eta: 1.653, phi: 1.42899, Q: 1
SwMuon 2 pT: 21.5, eta: -1.67475, phi: -1.52716, Q: -1

Event 107 BX 10
SwMuon 1 pT: 50.5, eta: -1.25063, phi: 1.59261, Q: 1
SwMuon 2 pT: 100.5, eta: 1.19625, phi: -1.47262, Q: -1

Event 108 BX 11
SwMuon 1 pT: 0, eta: 0, phi: 0, Q: 0
SwMuon 2 pT: 0, eta: 0, phi: 0, Q: 0

Event 109 BX 100
SwMuon 1 pT: 131, eta: -0.89175, phi: 2.50891, Q: 1
SwMuon 2 pT: 90.5, eta: 0.859125, phi: -0.567232, Q: -1

Event 110 BX 101
SwMuon 1 pT: 30.5, eta: -1.25063, phi: 2.33438, Q: 1
SwMuon 2 pT: 45.5, eta: 1.25063, phi: -0.687223, Q: -1

Event 111 BX 110
SwMuon 1 pT: 10, eta: 2.20762, phi: 0.90539, Q: 1
SwMuon 2 pT: 7, eta: -2.262, phi: -1.91986, Q: -1

Event 112 BX 111
SwMuon 1 pT: 35.5, eta: -1.07662, phi: 2.498, Q: 1
SwMuon 2 pT: 40.5, eta: 1.07662, phi: -0.501782, Q: -1

Event 113 BX 0
SwMuon 1 pT: 9, eta: 0.261, phi: -2.38892, Q: 1
SwMuon 2 pT: 140, eta: -0.358875, phi: 0.785398, Q: -1

Event 114 BX 1
SwMuon 1 pT: 17.5, eta: -1.28325, phi: 1.33081, Q: 1
SwMuon 2 pT: 30.5, eta: 1.25063, phi: -1.65806, Q: -1

Event 115 BX 10
SwMuon 1 pT: 8.5, eta: 2.22937, phi: -2.32347, Q: 1
SwMuon 2 pT: 8, eta: -2.29463, phi: 1.12356, Q: -1

Event 116 BX 11
SwMuon 1 pT: 54.5, eta: 2.12063, phi: -1.16719, Q: 1
SwMuon 2 pT: 25, eta: -2.10975, phi: 2.06167, Q: -1

Event 117 BX 100
SwMuon 1 pT: 140, eta: -0.184875, phi: 0.621774, Q: 1
SwMuon 2 pT: 140, eta: 0.184875, phi: -2.48709, Q: -1

Event 118 BX 101
SwMuon 1 pT: 47.5, eta: -1.50075, phi: 2.06167, Q: 1
SwMuon 2 pT: 100.5, eta: 1.31588, phi: -1.01447, Q: -1

Event 119 BX 110
SwMuon 1 pT: 27.5, eta: 2.28375, phi: 0.370882, Q: 1
SwMuon 2 pT: 32, eta: -2.262, phi: -2.68344, Q: -1

Event 120 BX 111
SwMuon 1 pT: 0, eta: 0, phi: 0, Q: 0
SwMuon 2 pT: 0, eta: 0, phi: 0, Q: 0

Event 121 BX 0
SwMuon 1 pT: 90.5, eta: 1.31588, phi: -2.71617, Q: 1
SwMuon 2 pT: 10, eta: -1.42463, phi: 0.490874, Q: -1

Event 122 BX 1
SwMuon 1 pT: 0, eta: 0, phi: 0, Q: 0
SwMuon 2 pT: 0, eta: 0, phi: 0, Q: 0

Event 123 BX 10
SwMuon 1 pT: 129, eta: -0.261, phi: -1.01447, Q: 1
SwMuon 2 pT: 140, eta: 0.261, phi: 2.15985, Q: -1

Event 124 BX 11
SwMuon 1 pT: 27.5, eta: 2.32725, phi: 1.98531, Q: 1
SwMuon 2 pT: 35, eta: -2.33812, phi: -1.09083, Q: -1

Event 125 BX 100
SwMuon 1 pT: 77, eta: -1.54425, phi: -2.17075, Q: -1
SwMuon 2 pT: 90.5, eta: 1.31588, phi: 1.01447, Q: -1

Event 126 BX 101
SwMuon 1 pT: 14.5, eta: 1.19625, phi: 2.54164, Q: 1
SwMuon 2 pT: 18.5, eta: -1.19625, phi: -0.239983, Q: -1

Event 127 BX 110
SwMuon 1 pT: 24, eta: -2.175, phi: -1.90895, Q: 1
SwMuon 2 pT: 42.5, eta: 2.16412, phi: 1.34172, Q: -1

Event 128 BX 111
SwMuon 1 pT: 20, eta: -1.93575, phi: -2.20348, Q: 1
SwMuon 2 pT: 17, eta: 1.92488, phi: 1.13446, Q: -1

Event 129 BX 0
SwMuon 1 pT: 0, eta: 0, phi: 0, Q: 0
SwMuon 2 pT: 0, eta: 0, phi: 0, Q: 0

Event 130 BX 1
SwMuon 1 pT: 140, eta: 0.41325, phi: -2.02895, Q: 1
SwMuon 2 pT: 131, eta: -0.41325, phi: 1.15628, Q: -1

Event 131 BX 10
SwMuon 1 pT: 23, eta: 2.14237, phi: 0.19635, Q: 1
SwMuon 2 pT: 33.5, eta: -2.1315, phi: -2.85798, Q: -1

Event 132 BX 11
SwMuon 1 pT: 200.5, eta: 1.31588, phi: -0.414515, Q: 1
